2020-09-01 15:48:46.323 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@71567f33, org.springframework.security.web.context.SecurityContextPersistenceFilter@5dcf0772, org.springframework.security.web.header.HeaderWriterFilter@446b64b3, org.springframework.security.web.authentication.logout.LogoutFilter@2cc75b25, org.lsy.learn.security.auth.filter.JwtTokenAuthenticationFilter@23c767e6, org.lsy.learn.security.auth.filter.JwtUserAuthenticationFilter@310a7859, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5f6494c0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38c761e9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a7b6b75, org.springframework.security.web.session.SessionManagementFilter@56c0a61e, org.springframework.security.web.access.ExceptionTranslationFilter@57c69937, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7b8aebd0]
2020-09-01 15:48:46.390 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-01 15:48:46.632 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8050"]
2020-09-01 15:48:46.649 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8050 (http) with context path '/learn'
2020-09-01 15:48:46.657 [main] INFO  org.lsy.learn.security.SecurityApplication - Started SecurityApplication in 3.6 seconds (JVM running for 4.527)
2020-09-01 15:50:32.237 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-01 16:00:12.652 [main] INFO  org.lsy.learn.security.SecurityApplication - Starting SecurityApplication on DESKTOP-VI286HH with PID 14932 (D:\learnProject\security\build\classes\java\main started by 18692 in D:\learnProject\security)
2020-09-01 16:00:12.655 [main] INFO  org.lsy.learn.security.SecurityApplication - No active profile set, falling back to default profiles: default
2020-09-01 16:00:13.197 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-01 16:00:13.198 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
